Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,Attend.,Arena,Notes
Wed Dec 28 2022,7:30p,Brooklyn Nets,108,Atlanta Hawks,107,,18030,State Farm Arena,
Wed Dec 28 2022,7:30p,Los Angeles Lakers,98,Miami Heat,112,,20221,FTX Arena,
Wed Dec 28 2022,8:00p,Milwaukee Bucks,113,Chicago Bulls,119,OT,21537,United Center,
Wed Dec 28 2022,8:00p,Minnesota Timberwolves,118,New Orleans Pelicans,119,,18669,Smoothie King Center,
Wed Dec 28 2022,10:00p,Utah Jazz,107,Golden State Warriors,112,,18064,Chase Center,
Wed Dec 28 2022,10:00p,Denver Nuggets,126,Sacramento Kings,127,,17985,Golden 1 Center,
Thu Dec 29 2022,7:00p,Oklahoma City Thunder,113,Charlotte Hornets,121,,19425,Spectrum Center,
Thu Dec 29 2022,7:00p,Cleveland Cavaliers,126,Indiana Pacers,135,,17274,Gainbridge Fieldhouse,
Thu Dec 29 2022,7:30p,Los Angeles Clippers,110,Boston Celtics,116,,19156,TD Garden,
Thu Dec 29 2022,7:30p,Memphis Grizzlies,119,Toronto Raptors,106,,19800,Scotiabank Arena,
Thu Dec 29 2022,8:00p,New York Knicks,115,San Antonio Spurs,122,,18354,AT&T Center,
Thu Dec 29 2022,8:30p,Houston Rockets,114,Dallas Mavericks,129,,20307,American Airlines Center,
Fri Dec 30 2022,7:00p,Washington Wizards,119,Orlando Magic,100,,19040,Amway Center,
Fri Dec 30 2022,7:30p,Los Angeles Lakers,130,Atlanta Hawks,121,,17984,State Farm Arena,
Fri Dec 30 2022,7:30p,Phoenix Suns,104,Toronto Raptors,113,,19800,Scotiabank Arena,
Fri Dec 30 2022,8:00p,Detroit Pistons,118,Chicago Bulls,132,,21667,United Center,
Fri Dec 30 2022,8:00p,Minnesota Timberwolves,114,Milwaukee Bucks,123,,18018,Fiserv Forum,
Fri Dec 30 2022,8:30p,Philadelphia 76ers,116,New Orleans Pelicans,127,,18656,Smoothie King Center,
Fri Dec 30 2022,9:00p,Miami Heat,119,Denver Nuggets,124,,19638,Ball Arena,
Fri Dec 30 2022,10:00p,Portland Trail Blazers,112,Golden State Warriors,118,,18064,Chase Center,
Fri Dec 30 2022,10:00p,Utah Jazz,125,Sacramento Kings,126,,17946,Golden 1 Center,
Sat Dec 31 2022,3:00p,Los Angeles Clippers,130,Indiana Pacers,131,,16731,Gainbridge Fieldhouse,
Sat Dec 31 2022,7:00p,Cleveland Cavaliers,103,Chicago Bulls,102,,21524,United Center,
Sat Dec 31 2022,7:00p,Brooklyn Nets,123,Charlotte Hornets,106,,19386,Spectrum Center,
Sat Dec 31 2022,7:00p,New York Knicks,108,Houston Rockets,88,,18055,Toyota Center,
Sat Dec 31 2022,7:00p,Dallas Mavericks,126,San Antonio Spurs,125,,18354,AT&T Center,
Sat Dec 31 2022,8:00p,New Orleans Pelicans,101,Memphis Grizzlies,116,,17951,FedEx Forum,
Sat Dec 31 2022,8:00p,Detroit Pistons,116,Minnesota Timberwolves,104,,16233,Target Center,
Sat Dec 31 2022,8:00p,Philadelphia 76ers,115,Oklahoma City Thunder,96,,17147,Paycom Center,
Sat Dec 31 2022,9:00p,Miami Heat,126,Utah Jazz,123,,18206,Vivint Arena,
Sun Jan 1 2023,8:00p,Boston Celtics,111,Denver Nuggets,123,,19641,Ball Arena,
Sun Jan 1 2023,8:00p,Sacramento Kings,108,Memphis Grizzlies,118,,17794,FedEx Forum,
Sun Jan 1 2023,8:00p,Washington Wizards,118,Milwaukee Bucks,95,,17341,Fiserv Forum,
Mon Jan 2 2023,3:00p,Phoenix Suns,83,New York Knicks,102,,19812,Madison Square Garden (IV),
Mon Jan 2 2023,7:00p,Los Angeles Lakers,121,Charlotte Hornets,115,,19210,Spectrum Center,
Mon Jan 2 2023,7:00p,Chicago Bulls,134,Cleveland Cavaliers,145,OT,19432,Rocket Mortgage Fieldhouse,
Mon Jan 2 2023,7:00p,Toronto Raptors,114,Indiana Pacers,122,,14054,Gainbridge Fieldhouse,
Mon Jan 2 2023,7:00p,New Orleans Pelicans,111,Philadelphia 76ers,120,,20531,Wells Fargo Center,
Mon Jan 2 2023,7:30p,San Antonio Spurs,103,Brooklyn Nets,139,,18224,Barclays Center,
Mon Jan 2 2023,8:00p,Dallas Mavericks,111,Houston Rockets,106,,18055,Toyota Center,
Mon Jan 2 2023,8:00p,Denver Nuggets,111,Minnesota Timberwolves,124,,15962,Target Center,
Mon Jan 2 2023,10:00p,Atlanta Hawks,141,Golden State Warriors,143,2OT,18064,Chase Center,
Mon Jan 2 2023,10:00p,Detroit Pistons,106,Portland Trail Blazers,135,,19393,Moda Center,
Mon Jan 2 2023,10:30p,Miami Heat,110,Los Angeles Clippers,100,,19068,Crypto.com Arena,
Tue Jan 3 2023,8:00p,Washington Wizards,113,Milwaukee Bucks,123,,17341,Fiserv Forum,
Tue Jan 3 2023,8:00p,Boston Celtics,117,Oklahoma City Thunder,150,,16778,Paycom Center,
Tue Jan 3 2023,9:00p,Sacramento Kings,117,Utah Jazz,115,,18206,Vivint Arena,
Wed Jan 4 2023,7:00p,Memphis Grizzlies,131,Charlotte Hornets,107,,19249,Spectrum Center,
Wed Jan 4 2023,7:00p,Phoenix Suns,88,Cleveland Cavaliers,90,,19432,Rocket Mortgage Fieldhouse,
Wed Jan 4 2023,7:00p,Oklahoma City Thunder,115,Orlando Magic,126,,18925,Amway Center,
Wed Jan 4 2023,7:00p,Indiana Pacers,126,Philadelphia 76ers,129,OT,20033,Wells Fargo Center,
Wed Jan 4 2023,7:30p,San Antonio Spurs,114,New York Knicks,117,,19812,Madison Square Garden (IV),
Wed Jan 4 2023,7:30p,Milwaukee Bucks,104,Toronto Raptors,101,OT,19800,Scotiabank Arena,
Wed Jan 4 2023,8:00p,Brooklyn Nets,112,Chicago Bulls,121,,21418,United Center,
Wed Jan 4 2023,8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,113,,15434,Target Center,
Wed Jan 4 2023,8:00p,Houston Rockets,108,New Orleans Pelicans,119,,17295,Smoothie King Center,
Wed Jan 4 2023,10:00p,Detroit Pistons,122,Golden State Warriors,119,,18064,Chase Center,
Wed Jan 4 2023,10:00p,Miami Heat,109,Los Angeles Lakers,112,,18997,Crypto.com Arena,
Wed Jan 4 2023,10:00p,Atlanta Hawks,120,Sacramento Kings,117,,17611,Golden 1 Center,
Thu Jan 5 2023,7:00p,Memphis Grizzlies,123,Orlando Magic,115,,19184,Amway Center,
Thu Jan 5 2023,7:30p,Boston Celtics,124,Dallas Mavericks,95,,20413,American Airlines Center,
Thu Jan 5 2023,8:00p,Utah Jazz,131,Houston Rockets,114,,16320,Toyota Center,
Thu Jan 5 2023,10:00p,Los Angeles Clippers,91,Denver Nuggets,122,,19087,Ball Arena,
Fri Jan 6 2023,7:00p,Portland Trail Blazers,99,Indiana Pacers,108,,16548,Gainbridge Fieldhouse,
Fri Jan 6 2023,7:00p,Chicago Bulls,126,Philadelphia 76ers,112,,20766,Wells Fargo Center,
Fri Jan 6 2023,7:30p,Brooklyn Nets,108,New Orleans Pelicans,102,,18636,Smoothie King Center,
Fri Jan 6 2023,7:30p,New York Knicks,112,Toronto Raptors,108,,19800,Scotiabank Arena,
Fri Jan 6 2023,8:00p,Charlotte Hornets,138,Milwaukee Bucks,109,,17627,Fiserv Forum,
Fri Jan 6 2023,8:00p,Washington Wizards,110,Oklahoma City Thunder,127,,14790,Paycom Center,
Fri Jan 6 2023,8:00p,Detroit Pistons,109,San Antonio Spurs,121,,13107,AT&T Center,
Fri Jan 6 2023,9:00p,Cleveland Cavaliers,108,Denver Nuggets,121,,19638,Ball Arena,
Fri Jan 6 2023,9:00p,Los Angeles Clippers,115,Minnesota Timberwolves,128,,17136,Target Center,
Fri Jan 6 2023,10:00p,Miami Heat,104,Phoenix Suns,96,,17071,Footprint Center,
Fri Jan 6 2023,10:30p,Atlanta Hawks,114,Los Angeles Lakers,130,,18997,Crypto.com Arena,
Sat Jan 7 2023,6:00p,Boston Celtics,121,San Antonio Spurs,116,,18354,AT&T Center,
Sat Jan 7 2023,8:00p,Utah Jazz,118,Chicago Bulls,126,,21694,United Center,
Sat Jan 7 2023,8:00p,New Orleans Pelicans,117,Dallas Mavericks,127,,20300,American Airlines Center,
Sat Jan 7 2023,8:30p,Orlando Magic,115,Golden State Warriors,101,,18064,Chase Center,
Sat Jan 7 2023,10:00p,Los Angeles Lakers,136,Sacramento Kings,134,,17611,Golden 1 Center,
Sun Jan 8 2023,3:00p,Philadelphia 76ers,123,Detroit Pistons,111,,18898,Little Caesars Arena,
Sun Jan 8 2023,3:30p,Portland Trail Blazers,105,Toronto Raptors,117,,19800,Scotiabank Arena,
Sun Jan 8 2023,5:00p,Charlotte Hornets,111,Indiana Pacers,116,,15805,Gainbridge Fieldhouse,
Sun Jan 8 2023,6:00p,Utah Jazz,118,Memphis Grizzlies,123,,17794,FedEx Forum,
Sun Jan 8 2023,6:00p,Brooklyn Nets,102,Miami Heat,101,,19901,FTX Arena,
Sun Jan 8 2023,7:00p,Minnesota Timberwolves,104,Houston Rockets,96,,18055,Toyota Center,
Sun Jan 8 2023,7:00p,Dallas Mavericks,109,Oklahoma City Thunder,120,,16317,Paycom Center,
Sun Jan 8 2023,8:00p,Cleveland Cavaliers,112,Phoenix Suns,98,,17071,Footprint Center,
Sun Jan 8 2023,9:00p,Atlanta Hawks,112,Los Angeles Clippers,108,,19068,Crypto.com Arena,
Mon Jan 9 2023,7:00p,New Orleans Pelicans,132,Washington Wizards,112,,16223,Capital One Arena,
Mon Jan 9 2023,7:30p,Chicago Bulls,99,Boston Celtics,107,,19156,TD Garden,
Mon Jan 9 2023,7:30p,Milwaukee Bucks,111,New York Knicks,107,,18167,Madison Square Garden (IV),
Mon Jan 9 2023,8:00p,San Antonio Spurs,113,Memphis Grizzlies,121,,16013,FedEx Forum,
Mon Jan 9 2023,9:00p,Los Angeles Lakers,109,Denver Nuggets,122,,19609,Ball Arena,
Mon Jan 9 2023,10:00p,Orlando Magic,111,Sacramento Kings,136,,16499,Golden 1 Center,
Tue Jan 10 2023,7:00p,Detroit Pistons,116,Philadelphia 76ers,147,,20221,Wells Fargo Center,
Tue Jan 10 2023,7:30p,Oklahoma City Thunder,111,Miami Heat,112,,19600,FTX Arena,
Tue Jan 10 2023,7:30p,Charlotte Hornets,120,Toronto Raptors,132,,19800,Scotiabank Arena,
Tue Jan 10 2023,9:00p,Cleveland Cavaliers,114,Utah Jazz,116,,18206,Vivint Arena,
Tue Jan 10 2023,10:00p,Phoenix Suns,125,Golden State Warriors,113,,18064,Chase Center,
Tue Jan 10 2023,10:00p,Orlando Magic,109,Portland Trail Blazers,106,,18176,Moda Center,
Tue Jan 10 2023,10:30p,Dallas Mavericks,101,Los Angeles Clippers,113,,15828,Crypto.com Arena,
Wed Jan 11 2023,7:00p,Minnesota Timberwolves,118,Detroit Pistons,135,,15906,Little Caesars Arena,
Wed Jan 11 2023,7:00p,Chicago Bulls,97,Washington Wizards,100,,17032,Capital One Arena,
Wed Jan 11 2023,7:30p,Milwaukee Bucks,114,Atlanta Hawks,105,,17154,State Farm Arena,
Wed Jan 11 2023,7:30p,New Orleans Pelicans,114,Boston Celtics,125,,19156,TD Garden,
Wed Jan 11 2023,7:30p,Indiana Pacers,113,New York Knicks,119,,18249,Madison Square Garden (IV),
Wed Jan 11 2023,8:00p,San Antonio Spurs,129,Memphis Grizzlies,135,,16454,FedEx Forum,
Wed Jan 11 2023,10:00p,Phoenix Suns,97,Denver Nuggets,126,,18872,Ball Arena,
Wed Jan 11 2023,10:00p,Houston Rockets,115,Sacramento Kings,135,,16057,Golden 1 Center,
Thu Jan 12 2023,7:00p,Oklahoma City Thunder,133,Philadelphia 76ers,114,,20892,Wells Fargo Center,
Thu Jan 12 2023,7:30p,Boston Celtics,109,Brooklyn Nets,98,,18125,Barclays Center,
Thu Jan 12 2023,7:30p,Milwaukee Bucks,102,Miami Heat,108,,19600,FTX Arena,
Thu Jan 12 2023,7:30p,Charlotte Hornets,114,Toronto Raptors,124,,19800,Scotiabank Arena,
Thu Jan 12 2023,10:00p,Dallas Mavericks,119,Los Angeles Lakers,115,2OT,18997,Crypto.com Arena,
Thu Jan 12 2023,10:00p,Cleveland Cavaliers,119,Portland Trail Blazers,113,,18105,Moda Center,
Fri Jan 13 2023,7:00p,New Orleans Pelicans,116,Detroit Pistons,110,,18989,Little Caesars Arena,
Fri Jan 13 2023,7:00p,Atlanta Hawks,113,Indiana Pacers,111,,16071,Gainbridge Fieldhouse,
Fri Jan 13 2023,7:00p,New York Knicks,112,Washington Wizards,108,,20476,Capital One Arena,
Fri Jan 13 2023,7:30p,Golden State Warriors,144,San Antonio Spurs,113,,68323,,
Fri Jan 13 2023,8:00p,Oklahoma City Thunder,124,Chicago Bulls,110,,21342,United Center,
Fri Jan 13 2023,8:00p,Phoenix Suns,116,Minnesota Timberwolves,121,,16460,Target Center,
Fri Jan 13 2023,9:00p,Orlando Magic,108,Utah Jazz,112,,18206,Vivint Arena,
Fri Jan 13 2023,10:00p,Denver Nuggets,115,Los Angeles Clippers,103,,16005,Crypto.com Arena,
Fri Jan 13 2023,10:00p,Houston Rockets,114,Sacramento Kings,139,,17894,Golden 1 Center,
Sat Jan 14 2023,1:00p,Milwaukee Bucks,95,Miami Heat,111,,19620,FTX Arena,
Sat Jan 14 2023,7:00p,Boston Celtics,122,Charlotte Hornets,106,,19608,Spectrum Center,
Sat Jan 14 2023,7:00p,Memphis Grizzlies,130,Indiana Pacers,112,,17274,Gainbridge Fieldhouse,
Sat Jan 14 2023,7:30p,Atlanta Hawks,114,Toronto Raptors,103,,19800,Scotiabank Arena,
Sat Jan 14 2023,8:00p,Cleveland Cavaliers,102,Minnesota Timberwolves,110,,17136,Target Center,
Sat Jan 14 2023,9:00p,Philadelphia 76ers,118,Utah Jazz,117,,18206,Vivint Arena,
Sat Jan 14 2023,10:00p,Dallas Mavericks,119,Portland Trail Blazers,136,,19393,Moda Center,
Sun Jan 15 2023,1:00p,New York Knicks,117,Detroit Pistons,104,,19894,Little Caesars Arena,
Sun Jan 15 2023,3:00p,Houston Rockets,100,Los Angeles Clippers,121,,17238,Crypto.com Arena,
Sun Jan 15 2023,3:30p,Golden State Warriors,118,Chicago Bulls,132,,20139,United Center,
Sun Jan 15 2023,6:00p,Oklahoma City Thunder,112,Brooklyn Nets,102,,18165,Barclays Center,
Sun Jan 15 2023,7:00p,Sacramento Kings,132,San Antonio Spurs,119,,12339,AT&T Center,
Sun Jan 15 2023,8:00p,Orlando Magic,116,Denver Nuggets,119,,19641,Ball Arena,
Sun Jan 15 2023,9:00p,Dallas Mavericks,123,Portland Trail Blazers,140,,19393,Moda Center,
Sun Jan 15 2023,9:30p,Philadelphia 76ers,113,Los Angeles Lakers,112,,18020,Crypto.com Arena,
Mon Jan 16 2023,1:00p,Boston Celtics,130,Charlotte Hornets,118,,19227,Spectrum Center,
Mon Jan 16 2023,2:30p,Indiana Pacers,119,Milwaukee Bucks,132,,17412,Fiserv Forum,
Mon Jan 16 2023,3:00p,New Orleans Pelicans,103,Cleveland Cavaliers,113,,19432,Rocket Mortgage Fieldhouse,
Mon Jan 16 2023,3:00p,Toronto Raptors,123,New York Knicks,121,OT,19812,Madison Square Garden (IV),
Mon Jan 16 2023,3:00p,Golden State Warriors,127,Washington Wizards,118,,20476,Capital One Arena,
Mon Jan 16 2023,3:30p,Miami Heat,113,Atlanta Hawks,121,,18007,State Farm Arena,
Mon Jan 16 2023,4:00p,Utah Jazz,126,Minnesota Timberwolves,125,,16477,Target Center,
Mon Jan 16 2023,6:00p,Phoenix Suns,106,Memphis Grizzlies,136,,17794,FedEx Forum,
Mon Jan 16 2023,10:30p,Houston Rockets,132,Los Angeles Lakers,140,,17657,Crypto.com Arena,
Tue Jan 17 2023,7:30p,Toronto Raptors,122,Milwaukee Bucks,130,,17341,Fiserv Forum,
Tue Jan 17 2023,8:00p,Brooklyn Nets,98,San Antonio Spurs,106,,13532,AT&T Center,
Tue Jan 17 2023,9:00p,Portland Trail Blazers,113,Denver Nuggets,122,,18258,Ball Arena,
Tue Jan 17 2023,10:00p,Philadelphia 76ers,120,Los Angeles Clippers,110,,15155,Crypto.com Arena,
Wed Jan 18 2023,7:30p,Atlanta Hawks,130,Dallas Mavericks,122,,20125,American Airlines Center,
Wed Jan 18 2023,7:30p,Washington Wizards,116,New York Knicks,105,,19164,Madison Square Garden (IV),
Wed Jan 18 2023,8:00p,Charlotte Hornets,122,Houston Rockets,117,,15678,Toyota Center,
Wed Jan 18 2023,8:00p,Cleveland Cavaliers,114,Memphis Grizzlies,115,,16892,FedEx Forum,
Wed Jan 18 2023,8:00p,Miami Heat,124,New Orleans Pelicans,98,,17736,Smoothie King Center,
Wed Jan 18 2023,8:00p,Indiana Pacers,106,Oklahoma City Thunder,126,,14748,Paycom Center,
Wed Jan 18 2023,9:00p,Los Angeles Clippers,103,Utah Jazz,126,,18206,Vivint Arena,
Wed Jan 18 2023,10:00p,Minnesota Timberwolves,118,Denver Nuggets,122,,16112,Ball Arena,
Wed Jan 18 2023,10:30p,Sacramento Kings,116,Los Angeles Lakers,111,,18142,Crypto.com Arena,
Thu Jan 19 2023,3:00p,Chicago Bulls,126,Detroit Pistons,108,,15885,AccorHotels Arena,
Thu Jan 19 2023,7:30p,Golden State Warriors,118,Boston Celtics,121,OT,19156,TD Garden,
Thu Jan 19 2023,8:00p,Toronto Raptors,126,Minnesota Timberwolves,128,,16318,Target Center,
Thu Jan 19 2023,10:00p,Brooklyn Nets,112,Phoenix Suns,117,,17071,Footprint Center,
Thu Jan 19 2023,10:00p,Philadelphia 76ers,105,Portland Trail Blazers,95,,18113,Moda Center,
Fri Jan 20 2023,7:00p,New Orleans Pelicans,110,Orlando Magic,123,,19025,Amway Center,
Fri Jan 20 2023,7:30p,New York Knicks,124,Atlanta Hawks,139,,17711,State Farm Arena,
Fri Jan 20 2023,7:30p,Golden State Warriors,120,Cleveland Cavaliers,114,,19432,Rocket Mortgage Fieldhouse,
Fri Jan 20 2023,7:30p,Miami Heat,90,Dallas Mavericks,115,,20326,American Airlines Center,
Fri Jan 20 2023,8:00p,Los Angeles Clippers,131,San Antonio Spurs,126,,15190,AT&T Center,
Fri Jan 20 2023,9:00p,Indiana Pacers,111,Denver Nuggets,134,,19609,Ball Arena,
Fri Jan 20 2023,9:00p,Brooklyn Nets,117,Utah Jazz,106,,18206,Vivint Arena,
Fri Jan 20 2023,10:00p,Memphis Grizzlies,121,Los Angeles Lakers,122,,18997,Crypto.com Arena,
Fri Jan 20 2023,10:00p,Oklahoma City Thunder,113,Sacramento Kings,118,,17932,Golden 1 Center,
Sat Jan 21 2023,5:00p,Boston Celtics,106,Toronto Raptors,104,,19800,Scotiabank Arena,
Sat Jan 21 2023,7:00p,Orlando Magic,118,Washington Wizards,138,,18171,Capital One Arena,
Sat Jan 21 2023,7:30p,Charlotte Hornets,122,Atlanta Hawks,118,,17928,State Farm Arena,
Sat Jan 21 2023,7:30p,Milwaukee Bucks,102,Cleveland Cavaliers,114,,19432,Rocket Mortgage Fieldhouse,
Sat Jan 21 2023,8:00p,Houston Rockets,104,Minnesota Timberwolves,113,,17136,Target Center,
Sat Jan 21 2023,9:00p,Indiana Pacers,107,Phoenix Suns,112,,17071,Footprint Center,
Sat Jan 21 2023,10:00p,Philadelphia 76ers,129,Sacramento Kings,127,,17861,Golden 1 Center,
Sun Jan 22 2023,2:30p,Los Angeles Clippers,112,Dallas Mavericks,98,,20026,American Airlines Center,
Sun Jan 22 2023,3:30p,New Orleans Pelicans,96,Miami Heat,100,,19600,FTX Arena,
Sun Jan 22 2023,6:00p,New York Knicks,116,Toronto Raptors,125,,19261,Scotiabank Arena,
Sun Jan 22 2023,8:00p,Oklahoma City Thunder,101,Denver Nuggets,99,,19557,Ball Arena,
Sun Jan 22 2023,8:00p,Memphis Grizzlies,110,Phoenix Suns,112,,17071,Footprint Center,
Sun Jan 22 2023,8:30p,Brooklyn Nets,120,Golden State Warriors,116,,18064,Chase Center,
Sun Jan 22 2023,9:00p,Los Angeles Lakers,121,Portland Trail Blazers,112,,19393,Moda Center,
Mon Jan 23 2023,7:00p,Milwaukee Bucks,150,Detroit Pistons,130,,18011,Little Caesars Arena,
Mon Jan 23 2023,7:00p,Boston Celtics,98,Orlando Magic,113,,19196,Amway Center,
Mon Jan 23 2023,8:00p,Atlanta Hawks,100,Chicago Bulls,111,,20938,United Center,
Mon Jan 23 2023,8:00p,Minnesota Timberwolves,114,Houston Rockets,119,,13811,Toyota Center,
Mon Jan 23 2023,9:00p,Charlotte Hornets,102,Utah Jazz,120,,18206,Vivint Arena,
Mon Jan 23 2023,10:00p,San Antonio Spurs,127,Portland Trail Blazers,147,,17874,Moda Center,
Mon Jan 23 2023,10:30p,Memphis Grizzlies,100,Sacramento Kings,133,,17821,Golden 1 Center,
Tue Jan 24 2023,7:00p,Chicago Bulls,110,Indiana Pacers,116,,16102,Gainbridge Fieldhouse,
Tue Jan 24 2023,7:30p,Boston Celtics,95,Miami Heat,98,,19705,FTX Arena,
Tue Jan 24 2023,7:30p,Cleveland Cavaliers,103,New York Knicks,105,,19812,Madison Square Garden (IV),
Tue Jan 24 2023,8:00p,Denver Nuggets,99,New Orleans Pelicans,98,,14699,Smoothie King Center,
Tue Jan 24 2023,8:30p,Washington Wizards,127,Dallas Mavericks,126,,20077,American Airlines Center,
Tue Jan 24 2023,9:00p,Charlotte Hornets,97,Phoenix Suns,128,,17071,Footprint Center,
Tue Jan 24 2023,10:00p,Los Angeles Clippers,133,Los Angeles Lakers,115,,17604,Crypto.com Arena,
Wed Jan 25 2023,7:00p,Indiana Pacers,120,Orlando Magic,126,,18846,Amway Center,
Wed Jan 25 2023,7:30p,Brooklyn Nets,133,Philadelphia 76ers,137,,19772,Wells Fargo Center,
Wed Jan 25 2023,8:00p,Washington Wizards,108,Houston Rockets,103,,15302,Toyota Center,
Wed Jan 25 2023,8:00p,Denver Nuggets,99,Milwaukee Bucks,107,,17352,Fiserv Forum,
Wed Jan 25 2023,8:00p,Minnesota Timberwolves,111,New Orleans Pelicans,102,,14887,Smoothie King Center,
Wed Jan 25 2023,8:00p,Atlanta Hawks,137,Oklahoma City Thunder,132,,15079,Paycom Center,
Wed Jan 25 2023,10:00p,Memphis Grizzlies,120,Golden State Warriors,122,,18064,Chase Center,
Wed Jan 25 2023,10:00p,Utah Jazz,124,Portland Trail Blazers,134,,18154,Moda Center,
Wed Jan 25 2023,10:00p,Toronto Raptors,113,Sacramento Kings,95,,17767,Golden 1 Center,
Wed Jan 25 2023,10:30p,San Antonio Spurs,104,Los Angeles Lakers,113,,17955,Crypto.com Arena,
Thu Jan 26 2023,7:30p,New York Knicks,120,Boston Celtics,117,OT,19156,TD Garden,
Thu Jan 26 2023,7:30p,Detroit Pistons,130,Brooklyn Nets,122,,17732,Barclays Center,
Thu Jan 26 2023,7:30p,Chicago Bulls,96,Charlotte Hornets,111,,17697,Spectrum Center,
Thu Jan 26 2023,8:00p,Cleveland Cavaliers,113,Houston Rockets,95,,16327,Toyota Center,
Thu Jan 26 2023,10:00p,Dallas Mavericks,99,Phoenix Suns,95,,17071,Footprint Center,
Thu Jan 26 2023,10:30p,San Antonio Spurs,100,Los Angeles Clippers,138,,16958,Crypto.com Arena,
Fri Jan 27 2023,7:00p,Milwaukee Bucks,141,Indiana Pacers,131,,16090,Gainbridge Fieldhouse,
Fri Jan 27 2023,7:30p,Memphis Grizzlies,100,Minnesota Timberwolves,111,,17136,Target Center,
Fri Jan 27 2023,8:00p,Orlando Magic,105,Miami Heat,110,,19788,FTX Arena,
Fri Jan 27 2023,8:00p,Cleveland Cavaliers,100,Oklahoma City Thunder,112,,16236,Paycom Center,
Fri Jan 27 2023,10:00p,Toronto Raptors,117,Golden State Warriors,129,,18064,Chase Center,
Sat Jan 28 2023,3:00p,Denver Nuggets,119,Philadelphia 76ers,126,,21255,Wells Fargo Center,
Sat Jan 28 2023,5:30p,New York Knicks,115,Brooklyn Nets,122,,18100,Barclays Center,
Sat Jan 28 2023,7:00p,Houston Rockets,117,Detroit Pistons,114,,19411,Little Caesars Arena,
Sat Jan 28 2023,7:00p,Chicago Bulls,128,Orlando Magic,109,,18846,Amway Center,
Sat Jan 28 2023,7:30p,Los Angeles Clippers,120,Atlanta Hawks,113,,18448,State Farm Arena,
Sat Jan 28 2023,8:00p,Sacramento Kings,110,Minnesota Timberwolves,117,,17136,Target Center,
Sat Jan 28 2023,8:00p,Washington Wizards,113,New Orleans Pelicans,103,,17692,Smoothie King Center,
Sat Jan 28 2023,8:00p,Phoenix Suns,128,San Antonio Spurs,118,OT,18354,AT&T Center,
Sat Jan 28 2023,8:30p,Los Angeles Lakers,121,Boston Celtics,125,OT,19156,TD Garden,
Sat Jan 28 2023,9:00p,Dallas Mavericks,100,Utah Jazz,108,,18206,Vivint Arena,
Sat Jan 28 2023,10:00p,Toronto Raptors,123,Portland Trail Blazers,105,,19393,Moda Center,
Sun Jan 29 2023,1:00p,Miami Heat,117,Charlotte Hornets,122,,19254,Spectrum Center,
Sun Jan 29 2023,6:00p,Indiana Pacers,100,Memphis Grizzlies,112,,17794,FedEx Forum,
Sun Jan 29 2023,7:00p,Los Angeles Clippers,99,Cleveland Cavaliers,122,,19432,Rocket Mortgage Fieldhouse,
Sun Jan 29 2023,8:00p,New Orleans Pelicans,110,Milwaukee Bucks,135,,17341,Fiserv Forum,
Mon Jan 30 2023,7:00p,Orlando Magic,119,Philadelphia 76ers,109,,19812,Wells Fargo Center,
Mon Jan 30 2023,7:30p,Los Angeles Lakers,104,Brooklyn Nets,121,,17924,Barclays Center,
Mon Jan 30 2023,8:00p,Sacramento Kings,118,Minnesota Timberwolves,111,OT,15342,Target Center,
Mon Jan 30 2023,8:00p,Golden State Warriors,128,Oklahoma City Thunder,120,,16854,Paycom Center,
Mon Jan 30 2023,8:00p,Washington Wizards,127,San Antonio Spurs,106,,11970,AT&T Center,
Mon Jan 30 2023,8:30p,Detroit Pistons,105,Dallas Mavericks,111,,19777,American Airlines Center,
Mon Jan 30 2023,9:00p,Toronto Raptors,106,Phoenix Suns,114,,17071,Footprint Center,
Mon Jan 30 2023,10:00p,Atlanta Hawks,125,Portland Trail Blazers,129,,18262,Moda Center,
Tue Jan 31 2023,7:00p,Miami Heat,100,Cleveland Cavaliers,97,,19432,Rocket Mortgage Fieldhouse,
Tue Jan 31 2023,7:30p,Los Angeles Lakers,129,New York Knicks,123,OT,19812,Madison Square Garden (IV),
Tue Jan 31 2023,8:00p,Los Angeles Clippers,108,Chicago Bulls,103,,20068,United Center,
Tue Jan 31 2023,8:00p,Charlotte Hornets,115,Milwaukee Bucks,124,,17341,Fiserv Forum,
Tue Jan 31 2023,10:00p,New Orleans Pelicans,113,Denver Nuggets,122,,18868,Ball Arena,
Wed Feb 1 2023,7:00p,Portland Trail Blazers,122,Memphis Grizzlies,112,,14589,FedEx Forum,
Wed Feb 1 2023,7:00p,Orlando Magic,94,Philadelphia 76ers,105,,20885,Wells Fargo Center,
Wed Feb 1 2023,7:30p,Brooklyn Nets,96,Boston Celtics,139,,19156,TD Garden,
Wed Feb 1 2023,8:00p,Oklahoma City Thunder,106,Houston Rockets,112,,15181,Toyota Center,
Wed Feb 1 2023,8:00p,Golden State Warriors,114,Minnesota Timberwolves,119,OT,17136,Target Center,
Wed Feb 1 2023,8:00p,Sacramento Kings,119,San Antonio Spurs,109,,13207,AT&T Center,
Wed Feb 1 2023,9:00p,Toronto Raptors,128,Utah Jazz,131,,18206,Vivint Arena,
Wed Feb 1 2023,10:00p,Atlanta Hawks,132,Phoenix Suns,100,,17071,Footprint Center,
